Subject,Session,Trial,Prime [Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Target[Trial],TargetDefinition.RESP[Trial],TargetDefinition.RT[Trial],TargetQuestion.RESP[Trial],TargetQuestion.RT[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],PrimeFirstResponseAccuracy,TargetFirstResponseAccuracy,PrimeCondition,RTrecognisePrime,RTrecogniseTarget
7,1,8,A u s t e n ,{SHIFT}Austen{SPACE},2053,A l c o t t ,{SHIFT}Alcott{SPACE},5900,1,1021,{SHIFT}Alcott{SPACE},1606,1,1,B,2939,1594
7,1,25,a b n o r m a l i t y,abnormality{SPACE},2287,a n a c h r o n i s m,anachronism{SPACE},6572,1,1204,anachronism{SPACE},3432,1,1,B,1977,2708
7,1,46,a c r o n y m,acronym{SPACE},2054,a n a g r a m,{SPACE},8861,4,1569,anagram{SPACE},1596,1,0,B,2155,1847
7,1,76,A l p s ,{SHIFT}Alps{SPACE},1523,A n d e s,{SHIFT}Andes{SPACE},4625,1,1112,{SHIFT}Andes{SPACE},2489,1,1,B,1798,1327
7,1,48,A r i e l,{SHIFT}Ariel{SPACE},876,A u r o r a ,{SHIFT}Aurora{SPACE},6932,1,827,{SHIFT}Aurora{SPACE},1063,1,1,B,1676,1488
7,1,51,B e i j i n g,{SHIFT}{SHIFT}Beijing{SPACE},2996,B a n g k o k,{SHIFT}Bangkok{SPACE},4466,1,1175,{SHIFT}Bangkok{SPACE},1655,1,1,B,1956,2104
7,1,69,b a r g a i n,bargain{SPACE},1227,b a r t e r ,barter{SPACE},3298,1,1384,barter{SPACE},958,1,1,B,1659,1681
7,1,17,B u c k i n g h a m ,buckingham{SPACE},2503,B e c k h a m,beckham{SPACE},6522,2,2192,beckham{SPACE},1891,1,1,B,2941,2118
7,1,65,b i l a t e r a l,bilateral{SPACE},1649,b i n o m i a l ,binomial{SPACE},3651,2,2373,binomial{SPACE},1537,1,1,B,2093,1482
7,1,68,c o r p s e ,corpse{SPACE},1167,c a r c a s s,carcass{SPACE},4383,2,1762,carcass{SPACE},1375,1,1,B,2164,1581
7,1,57,C h r i s t i e ,{SHIFT}Christie{SPACE},1261,C a r r o l l,{SHIFT}Carroll{SPACE},4070,1,920,{SHIFT}Carroll{SPACE},1829,1,1,B,2895,2790
7,1,6,c a m o f l a u g e ,camoflauge{SPACE},3773,c h a m e l e o n,chameleon{SPACE},5735,1,991,chameleon{SPACE},5708,1,1,B,2309,2766
7,1,9,C h a m b e r l a i n,{SHIFT}Chamberlain{SPACE},2184,C h u r c h i l l,{SHIFT}Churchill{SPACE},6065,1,999,{SHIFT}Churchill{SPACE},1780,1,1,B,3407,1666
7,1,40,C o n r a d ,conrad{SPACE},1114,C l e m e n s,{SHIFT}Clemens{SPACE},2629,1,979,{SHIFT}clemens{SPACE},1872,1,1,B,2602,1653
7,1,50,i m p l e m e n t,{SHIFT}Implement{SPACE},1743,c o n g r u e n t,coincidental,8867,2,2520,congruent{SPACE},1387,1,0,U,2381,2592
7,1,55,J a c k m a n,{SHIFT}Jackman{SPACE},1526,C o n n e r y,{SHIFT}{SHIFT}Connery{SPACE},8913,1,1043,{SHIFT}Connery{SPACE},1245,1,1,U,2653,1611
7,1,35,l a b e l,label{SPACE},914,c o v e n a n t ,covenant{SPACE},4554,1,996,covenant{SPACE},2521,1,1,U,1579,1384
7,1,45,l o c k e t ,locket{SPACE},1373,D a n t e,{SHIFT}Dante{SPACE},3426,1,1074,{SHIFT}Dante{SPACE},1112,1,1,U,2446,536
7,1,66,M a n d a r i n ,{SHIFT}{SHIFT}Mandarin{SPACE},2437,d e f a u l t,default{SPACE},7900,2,1340,default{SPACE},1176,1,1,U,1905,2325
7,1,64,m e d i u m ,medium{SPACE},1140,d e p l e t e,deplete{SPACE},9025,2,1903,deplete{SPACE},1434,1,1,U,1567,1446
7,1,10,O n t a r i o,{SHIFT}Ontario{SPACE},2450,d i v e r g e,expan,9052,4,7136,diverge{SPACE},1932,1,0,U,2103,2078
7,1,18,p l a c e b o,placebo{SPACE},1868,e c c e n t r i c,idiosyncratic{SPACE},5867,2,2654,eccentric{SPACE},2735,1,0,U,2649,2115
7,1,28,p a r a d i g m ,{SHIFT}paradigm{SPACE},2417,e x o r c i s m ,exorcism{SPACE},5275,1,1211,exorcism{SPACE},1588,1,1,U,2900,1786
7,1,60,p r o m i s c u o u s,promiscuous{SPACE},2366,F a r a d a y,{SHIFT}Ampere,6327,2,4557,{SHIFT}Faraday{SPACE},1116,1,0,U,2378,2140
7,1,12,p r o d i g y,prodigy{SPACE},1943,f o l i a g e,foliage{SPACE},4820,1,1428,foliage{SPACE},1382,1,1,U,2307,1826
7,1,52,p r o g n o s i s,prognosis{SPACE},1508,G a r l a n d,{SHIFT}Garland{SPACE},4513,1,1119,{SHIFT}Garland{SPACE},1182,1,1,U,2318,4444
7,1,72,r e s i g n ,resign{SPACE},911,g o s l i n g,gosling{SPACE},5143,1,1642,gosling{SPACE},1046,1,1,U,1905,1390
7,1,30,n a t i v e ,native{SPACE},904,H a n c o c k,{SHIFT}Hancock{SPACE},4394,1,1084,{SHIFT}Hancock{SPACE},1252,1,1,U,1884,1622
7,1,32,r e f u s e ,refuse{SPACE},962,H e l s i n k i ,{SHIFT}Oslo{SPACE},4024,3,6459,{SHIFT}Helsinki{SPACE},2518,1,0,U,1719,1839
7,1,63,c o n d o n e,condone{SPACE},1556,h o i s t,{SPACE},8942,2,1999,hoist{SPACE},1036,1,0,U,1853,1399
7,1,27,B r o n t e ,{SHIFT}Bronte{SPACE},1045,H u s s e i n,{SHIFT}Hussein{SPACE},6742,1,1093,{SHIFT}Hussein{SPACE},1894,1,1,U,3417,1455
7,1,44,m i s p l a c e ,misplace{SPACE},1671,i d i o s y n c r a s y ,{SHIFT}Distinguishing{SPACE},7566,1,4392,idiosyncrasy{SPACE},4091,1,0,U,2923,3358
7,1,7,m e n t i o n,mention{SPACE},1435,i n t e r j e c t,digre,9804,1,2400,interject{SPACE},2112,1,0,R,2414,2387
7,1,24,T y l e r,tyler{SPACE},796,J a g g e r ,{SHIFT}Jagger{SPACE},4376,1,1321,{SHIFT}Jagger{SPACE},1130,1,1,R,2608,1705
7,1,74,p e r j u r y,perjury{SPACE},3839,l i b e l,libel{SPACE},6827,2,2041,libel{SPACE},774,1,1,R,2265,1352
7,1,71,v e r b o s e,verbose{SPACE},2131,l o q u a c i o u s ,{SPACE},7107,4,3347,locquacious{SPACE},3717,1,0,R,3315,2137
7,1,61,G a n d h i ,{SHIFT}{SHIFT}Gandhi{SPACE},2520,M a n d e l a,{SHIFT}Mandela{SPACE},2969,1,1353,{SHIFT}{SHIFT}Mandela{SPACE},2477,1,1,R,2155,1103
7,1,23,s p a r s e ,sparse{SPACE},1189,m e a g e r ,{SPACE},9726,4,1996,meager{SPACE},1103,1,0,R,4350,1564
7,1,38,B o w i e,{SHIFT}Bowie{SPACE},1260,M e r c u r y,{SHIFT}{SHIFT}Mercury{SPACE},3969,1,967,{SHIFT}Mercury{SPACE},1173,1,1,R,2807,1244
7,1,49,S h a k e s p e a r e,{SHIFT}Shakespeare{SPACE},3217,M i l l e r ,{SHIFT}Miller{SPACE},6274,2,2436,{SHIFT}Miller{SPACE},1097,1,1,R,1581,1494
7,1,56,g r a t e,grate{SPACE},1145,m i n c e,mince{SPACE},8587,1,808,mince{SPACE},1038,1,1,R,3239,1195
7,1,3,i n v a r i a b l e ,invariable{SPACE},6778,m o n o t o n y ,{SHIFT}Monotony,9732,1,2131,monotony{SPACE},3843,1,1,R,3667,2285
7,1,37,H o u s t o n,{SHIFT}Houston{SPACE},1061,M o n r o e ,{SHIFT}Monroe{SPACE},5268,1,3489,{SHIFT}Monroe{SPACE},1129,1,1,R,2206,1556
7,1,42,M a d a g a s c a r ,{SHIFT}madagascar{SPACE},4754,N a i r o b i,{SHIFT}Nairobi{SPACE},5046,1,987,{SHIFT}Nairobi{SPACE},1621,1,1,R,1584,1328
7,1,11,i n v a l i d a t e ,invalidate{SPACE},1810,n u l l i f y,invalidat,7497,3,2537,nullify{SPACE},2313,1,0,R,2650,2342
7,1,2,B e r l i n ,{SHIFT}Berlin{SPACE},3429,N u r e m b e r g,{SHIFT}{SHIFT}Nuremburg,9790,1,5991,{SHIFT}Nuremberg{SPACE},3919,1,1,R,2774,3349
7,1,14,s e c r e t i v e,secretive{SPACE},3672,o b s c u r e,{SPACE},7018,4,2584,obscure{SPACE},1901,1,0,R,3191,2112
7,1,22,u n l i m i t e d,unlimited{SPACE},1851,o m n i p o t e n t ,omnipotent{SPACE},4117,1,4020,omnipote{SPACE},2711,1,1,R,2721,1841
7,1,73,f l a s h y ,flashy{SPACE},896,o s t e n t a t i o u s ,{SHIFT}Ostentatious{SPACE},7766,2,1357,ostentatious{SPACE},1631,1,1,R,1988,2261
7,1,75,B o o t h,{SHIFT}{SHIFT}Booth{SPACE},2201,O s w a l d ,{SPACE},6728,4,1988,{SHIFT}Oswald{SPACE},2425,1,0,R,2387,2328
7,1,5,o t t e r,otter{SPACE},1522,O t t a w a ,{SHIFT}Ottowa{SPACE},3598,1,2211,{SHIFT}Ottowa{SPACE},2039,1,1,P,1601,2127
7,1,62,p a n d a,panda{SPACE},1111,p a n a c e a,{SPACE},4710,3,3523,panacea{SPACE},2481,1,0,P,1556,1901
7,1,59,p a r a c h u t e,parachute{SPACE},1446,p a r a g o n,epitome{SPACE},5008,1,1354,paragon{SPACE},1513,1,0,P,1748,2326
7,1,15,p o l y g o n,polygon{SPACE},2621,p o l y g a m y ,polygamy{SPACE},4908,1,1083,polygamy{SPACE},3141,1,1,P,2078,1574
7,1,54,p r e c a r i o u s ,precarious{SPACE},4153,p r e c o c i o u s ,prodigy{SPACE},3974,1,1914,precocious{SPACE},2117,1,0,P,2396,2221
7,1,19,p r o f e s s o r,professor{SPACE},1722,p r o p h e c y ,fores,8943,4,4946,prophecy{SPACE},2642,1,0,P,2859,2121
7,1,31,s o f a ,sofa{SPACE},958,S e o u l,{SHIFT}Seoul{SPACE},4053,1,1090,{SHIFT}Seoul{SPACE},1421,1,1,P,1801,2346
7,1,29,s h i p ,ship{SPACE},802,S h a w ,{SHIFT}{SHIFT}{SPACE},6794,2,1414,{SHIFT}Shaw{SPACE},1446,1,0,P,1787,2320
7,1,4,s i z z l e ,sizzle{SPACE},1676,S i c i l y ,{SPACE},4862,1,1565,{SHIFT}Sicily{SPACE},2424,1,0,P,2672,1893
7,1,53,s k y s c r a p e r ,skyscraper{SPACE},2532,S k y w a l k e r,{SHIFT}Skywalker{SPACE},3911,1,1003,{SHIFT}Skywalker{SPACE},1979,1,1,P,2353,847
7,1,47,s u r v i v o r ,survivor{SPACE},2408,s u r r o g a t e,surrogate{SPACE},3215,1,1208,surrogate{SPACE},1379,1,1,P,2155,1772
7,1,41,t h o r n y ,thorny{SPACE},1005,T h o r e a u,{SHIFT}Thoreau{SPACE},5775,1,1556,{SHIFT}Thoreau{SPACE},2522,1,1,P,2244,1998
7,1,43,t i p,tip{SPACE},636,t i c,{SPACE},8084,4,1972,tic{SPACE},802,1,0,P,2195,2229
7,1,13,t u r m e r i c ,turmeric{SPACE},1660,t s u n a m i,typhoon{SPACE},4441,1,1059,tsunami{SPACE},2259,1,0,P,2845,2268
7,1,34,T u r n e r ,{SHIFT}Turner{SPACE},1090,T u r i n g ,{SHIFT}Turing{SPACE},4675,1,1663,{SHIFT}Turing{SPACE},1443,1,1,P,2168,1776
7,1,67,W a t t ,watt{SPACE},819,W a t s o n ,{SHIFT}Watson{SPACE},3200,2,1701,{SHIFT}Watson{SPACE},1022,1,1,P,2907,1765
7,1,26,w a k e ,wake{SPACE},1230,W a y n e,{SHIFT}Wayne{SPACE},4968,1,3699,{SHIFT}Wayne{SPACE},1132,1,1,P,1781,1610
7,1,70,Y e s t e r d a y,yesterday{SPACE},1187,Y e l l o w s t o n e,{SHIFT}Yellowstone{SPACE},6269,1,1351,{SHIFT}Yellowstone{SPACE},2981,1,1,P,1835,2602
8,1,7,a b a n d o n,abandon{SPACE},1538,a b d i c a t e ,renounce{SPACE},5855,1,1123,{SPACE},4078,1,0,B,4365,967
8,1,34,a b r o a d ,abroad{SPACE},2402,a b o r i g i n e,aboriginal{SPACE},9706,2,1624,aborigine{SPACE},3288,1,1,B,3282,5752
8,1,29,a v o i d,avoid{SPACE},1053,a b s t a i n,restrain{SPACE},6318,2,1214,abstain{SPACE},1549,1,0,B,2644,1747
8,1,57,a d v a n c e,advance{SPACE},2746,a d v o c a t e ,bolster{SPACE},7330,3,1607,advocate{SPACE},2730,1,0,B,3341,2360
8,1,26,A u s t e n ,austen{SPACE},1328,A l c o t t ,{SPACE},3014,2,453,alcott{SPACE},1322,1,0,B,2832,3475
8,1,55,a b n o r m a l i t y,abnormality{SPACE},3109,a n a c h r o n i s m,anachronistic{SPACE},5646,1,1083,anachronism{SPACE},3168,1,1,B,3735,3964
8,1,32,a c r o n y m,acronym{SPACE},2902,a n a g r a m,anagram{SPACE},7672,3,3167,anagram{SPACE},3197,1,1,B,4835,4128
8,1,62,A l p s ,alps{SPACE},1068,A n d e s,,0,2,1393,andes{SPACE},1724,1,0,B,2995,2412
8,1,25,A r i e l,ariel{SPACE},1418,A u r o r a ,aurora{SPACE},4269,1,853,aurora{SPACE},1470,1,1,B,2675,1131
8,1,31,B e i j i n g,bejing{SPACE},2513,B a n g k o k,{SPACE},4596,2,511,bangcok{SPACE},4475,1,0,B,2783,2876
8,1,18,b a r g a i n,bargain{SPACE},1740,b a r t e r ,barter{SPACE},4384,1,900,barter{SPACE},1600,1,1,B,3210,1750
8,1,65,B u c k i n g h a m ,buckingham{SPACE},4467,B e c k h a m,beckham{SPACE},8961,1,944,beckham{SPACE},1711,1,1,B,3967,2763
8,1,52,b i l a t e r a l,bilateral{SPACE},2230,b i n o m i a l ,argument{SPACE},4965,1,1120,binomial{SPACE},2894,1,0,B,5184,1848
8,1,44,c o r p s e ,corpse{SPACE},1883,c a r c a s s,carcas{SPACE},5865,1,861,carcas{SPACE},1969,1,1,B,2194,1251
8,1,4,C h r i s t i e ,christie{SPACE},2122,C a r r o l l,lewis{SPACE},3837,3,4808,carroll{ENTER}{SPACE},2295,1,0,B,4839,3355
8,1,47,c a m o f l a u g e ,camoflague{SPACE},3278,c h a m e l e o n,,0,4,2339,camellion{SPACE},1999,1,0,B,3396,1816
8,1,10,C h a m b e r l a i n,chamberlin{SPACE},2685,C h u r c h i l l,chuchil{SPACE},8521,1,1658,churchill{SPACE},3461,1,0,B,4377,3811
8,1,69,C o n r a d ,conrad{SPACE},1660,C l e m e n s,{SPACE},3315,2,612,clemens{SPACE},1334,1,0,B,3226,3388
8,1,24,m u r d e r ,murder{SPACE},2281,c o n g r u e n t,,0,4,2426,congruent{SPACE},3965,1,0,U,2658,2296
8,1,30,m i l i t a r y ,military{SPACE},2730,C o n n e r y,{SPACE},3412,2,337,connery{SPACE},2772,1,0,U,4756,2903
8,1,51,m i l k ,milk{SPACE},858,c o v e n a n t ,covenant{SPACE},4644,1,332,covenant{SPACE},2602,1,1,U,2625,1032
8,1,23,m o n o p o l y ,monopoly{SPACE},3210,D a n t e,dante{SPACE},5503,1,754,dante{SPACE},1940,1,1,U,2742,1787
8,1,50,M o n a r c h,monarch{SPACE},1607,d e f a u l t,requit{SPACE},6849,3,1594,default{SPACE},1555,1,0,U,2340,1032
8,1,16,n a r r a t e,narrate{SPACE},3144,d e p l e t e,deplete{SPACE},6000,1,958,deplete{SPACE},1920,1,1,U,5186,3431
8,1,33,S a i g o n ,saigon{SPACE},1284,d i v e r g e,diverge{SPACE},5948,2,1949,diverge{SPACE},1876,1,1,U,4350,2580
8,1,70,S h e l l e y,shelly{SPACE},2043,e c c e n t r i c,unique{SPACE},8065,3,1398,eccenric{SPACE},2278,1,0,U,3292,2798
8,1,40,S w i t z e r l a n d,switzerland{SPACE},2147,e x o r c i s m ,,0,4,2169,exorcism{SPACE},2586,1,0,U,1836,2608
8,1,45,S o l o ,colo{SPACE},870,F a r a d a y,,0,4,2627,faraday{SPACE},2348,0,0,U,2255,2710
8,1,3,s u b s t i t u t e ,substitute{SPACE},3284,f o l i a g e,foliage,9206,1,2890,foliage{SPACE},2240,1,1,U,3650,5478
8,1,14,T o l s t o y,tolstoy{SPACE},1811,G a r l a n d,{SPACE},4339,2,504,garland{SPACE},2163,1,0,U,3732,2201
8,1,74,p u z z l e ,puzzle{SPACE},1614,g o s l i n g,goosling{SPACE},9992,1,2122,gosling{SPACE},1846,1,0,U,1898,3887
8,1,61,H i m a l a y a s,himilayas{SPACE},2536,H a n c o c k,jefferson{SPACE},8714,1,1140,hancock{SPACE},1490,1,0,U,4255,1852
8,1,22,C i n d e r e l l a ,cinderella{SPACE},2591,H e l s i n k i ,{SPACE},5038,2,357,hellsinki{SPACE},3349,1,0,U,2930,2602
8,1,38,V i e t n a m,vietnam{SPACE},2293,h o i s t,,0,2,3124,hoist{SPACE},3132,1,0,U,4251,1863
8,1,60,t a r i f f ,tariff{SPACE},3813,H u s s e i n,{SPACE},3648,2,483,husein{SPACE},2095,1,0,U,3635,3297
8,1,66,M e s s i,messi{SPACE},1819,i d i o s y n c r a s y ,characteristic{SPACE},8444,1,1105,idiosyncransity{SPACE},4568,1,0,U,5705,3906
8,1,76,m e n t i o n,mention{SPACE},1678,i n t e r j e c t,int,9893,1,1752,interject{SPACE},1650,1,0,R,2363,3199
8,1,63,T y l e r,tyler{SPACE},2518,J a g g e r ,{SPACE},3641,2,860,jagger{SPACE},1989,1,0,R,3870,2971
8,1,53,p e r j u r y,perjury{SPACE},3237,l i b e l,liable{SPACE},6249,1,876,lible{SPACE},1867,1,0,R,3135,1727
8,1,19,v e r b o s e,verbose{SPACE},2434,l o q u a c i o u s ,{SPACE},9144,3,5119,loquocious{SPACE},3158,1,0,R,4214,4718
8,1,28,G a n d h i ,ghandi{SPACE},2078,M a n d e l a,malcom{SPACE},6979,2,3207,mandela{SPACE},3432,1,1,R,4377,3805
8,1,46,s p a r s e ,sparse{SPACE},3953,m e a g e r ,{SPACE},8502,2,1096,meager{SPACE},1494,1,0,R,2648,3371
8,1,73,B o w i e,bowie{SPACE},1378,M e r c u r y,{SPACE},3734,2,837,mercury{SPACE},1961,1,0,R,3149,2392
8,1,48,S h a k e s p e a r e,shakespere{SPACE},2273,M i l l e r ,{SPACE},2046,2,165,miller{SPACE},1643,1,0,R,2649,3376
8,1,43,g r a t e,grate{SPACE},1091,m i n c e,mince{SPACE},8195,1,1075,mince{SPACE},970,1,1,R,3983,2825
8,1,49,i n v a r i a b l e ,invariable{SPACE},2243,m o n o t o n y ,drone{SPACE},7169,3,5885,monotony{SPACE},1940,1,0,R,4399,1753
8,1,2,H o u s t o n,houston{SPACE},2452,M o n r o e ,monroe{SPACE},8233,1,1287,monroe{SPACE},2865,1,1,R,4484,2900
8,1,11,M a d a g a s c a r ,madagascar{SPACE},2330,N a i r o b i,nairobi{SPACE},7733,1,1144,nairobi{SPACE},3459,1,1,R,3958,3782
8,1,15,i n v a l i d a t e ,invalidate{SPACE},2268,n u l l i f y,nullify{SPACE},5946,1,1050,nullify{SPACE},1685,1,1,R,5690,2753
8,1,12,B e r l i n ,berlin{SPACE},1256,N u r e m b e r g,nurenburg{SPACE},8288,1,444,nurenburg{SPACE},3216,1,1,R,3389,3096
8,1,67,s e c r e t i v e,secretive{SPACE},2625,o b s c u r e,shrouded{SPACE},7919,3,1531,obscure{SPACE},2202,1,0,R,4779,2064
8,1,35,u n l i m i t e d,unlimited{SPACE},1826,o m n i p o t e n t ,omnipotent{SPACE},8131,2,1078,omnipotent{SPACE},3110,1,1,R,4181,2222
8,1,41,f l a s h y ,flashy{SPACE},1264,o s t e n t a t i o u s ,,0,4,1132,ostentacious{SPACE},2528,1,0,R,2748,2832
8,1,59,B o o t h,booth{SPACE},1844,O s w a l d ,booth{SPACE},3860,1,2077,oswald{SPACE},2332,1,0,R,3867,3096
8,1,71,o t t e r,otter{SPACE},1584,O t t a w a ,quebec{SPACE},4299,3,1266,ottawa{SPACE},2213,1,0,P,3930,3470
8,1,13,p a n d a,panda{SPACE},1562,p a n a c e a,,7414,2,2650,panacea{SPACE},1965,1,0,P,3858,6474
8,1,8,p a r a c h u t e,parashoot{SPACE},4967,p a r a g o n,model{SPACE},8625,3,1326,paragon{SPACE},2002,1,0,P,2622,4897
8,1,42,p o l y g o n,polygon{SPACE},2075,p o l y g a m y ,polyamourous{SPACE},7873,3,2702,polygamy{SPACE},3147,1,0,P,2294,2160
8,1,6,p r e c a r i o u s ,precarious{SPACE},2415,p r e c o c i o u s ,savant{SPACE},9687,3,3174,precocious{SPACE},3330,1,0,P,5777,4644
8,1,54,p r o f e s s o r,professor{SPACE},2050,p r o p h e c y ,premonition{SPACE},8441,1,943,prophcey{SPACE},6113,1,0,P,2650,2333
8,1,75,s o f a ,sofa{SPACE},1435,S e o u l,souel{SPACE},7148,1,1256,seoul{SPACE},1396,1,0,P,2378,2153
8,1,17,s h i p ,ship{SPACE},1449,S h a w ,{SPACE},2426,2,721,shaw{SPACE},1182,1,0,P,2607,3412
8,1,9,s i z z l e ,sizzle{SPACE},1856,S i c i l y ,,0,2,1923,sicily{SPACE},1705,1,0,P,4246,2740
8,1,21,s k y s c r a p e r ,skyscraper{SPACE},2665,S k y w a l k e r,skyw,9301,1,2281,skywalker{SPACE},2561,1,0,P,2475,3465
8,1,56,s u r v i v o r ,survivor{SPACE},2039,s u r r o g a t e,surrogate{SPACE},3886,1,1430,surrogate{SPACE},1904,1,1,P,3271,1283
8,1,27,t h o r n y ,thorny{SPACE},1435,T h o r e a u,{SPACE},2829,2,227,{SPACE},2859,1,0,P,3360,797
8,1,5,t i p,tip{SPACE},1265,t i c,,6090,2,1646,tic{SPACE},1704,1,0,P,2133,2924
8,1,64,t u r m e r i c ,turmeric{SPACE},2932,t s u n a m i,sum,9749,1,2457,tzsunami{SPACE},2660,1,0,P,3868,3096
8,1,68,T u r n e r ,turner{SPACE},2293,T u r i n g ,turing{SPACE},5793,1,1080,turing{SPACE},1349,1,1,P,2603,1032
8,1,37,W a t t ,watt{SPACE},1148,W a t s o n ,watson{SPACE},7128,1,1094,watson{SPACE},1155,1,1,P,2676,2269
8,1,72,w a k e ,wake{SPACE},1010,W a y n e,,0,4,968,wayne{SPACE},1003,1,0,P,3349,1911
8,1,36,Y e s t e r d a y,yesterday{SPACE},1877,Y e l l o w s t o n e,{SPACE},6595,2,1175,yellowstone{SPACE},2061,1,0,P,3853,2761
58,2,74,C o n g r e s s ,congress{SPACE},2027,a b d i c a t e ,abdicate{SPACE},4497,1,687,abdicate{SPACE},2121,1,1,U,7224,2408
58,2,13,C o b a i n ,cobain{SPACE},2529,a b o r i g i n e,{SPACE},8482,2,1465,aborigine{SPACE},3334,1,0,U,1548,6265
58,2,7,c o n v e n i e n t ,convienent{SPACE},4619,a b s t a i n,r,9986,3,4982,abstain{SPACE},1646,1,0,U,4697,2996
58,2,36,d a w n ,dawn{SPACE},1268,a d v o c a t e ,,0,2,1264,advocate{SPACE},1939,1,0,U,516,3099
58,2,59,d i f f i c u l t,difficult{SPACE},3040,A l c o t t ,,0,2,625,alcott{SPACE},1582,1,0,U,1032,3125
58,2,34,d e p t h,depth{SPACE},2186,a n a c h r o n i s m,,0,4,3711,anachronism{SPACE},3853,1,0,U,516,1044
58,2,2,i n t e r f e r e,interfere{SPACE},4240,a n a g r a m,anagram{SPACE},6265,1,2666,anagram{SPACE},2331,1,1,U,8772,3228
58,2,49,J a c k s o n,jackson{SPACE},1648,A n d e s,andes{SPACE},5671,1,2147,andes{SPACE},1232,1,1,U,3612,1666
58,2,68,l i t i g a t e ,litigate{SPACE},1700,A u r o r a ,,0,2,1131,aurora{SPACE},1652,1,0,U,1032,4199
58,2,9,l a c o n i c,laconic{SPACE},3398,B a n g k o k,,0,2,2647,bangkok{SPACE},6171,1,0,U,516,2744
58,2,31,M e n d e l ,mendel{SPACE},1424,b a r t e r ,barter{SPACE},5410,1,1081,barter{SPACE},1780,1,1,U,516,2386
58,2,6,m i n i m u m,minimum{SPACE},2168,B e c k h a m,{SPACE},4393,2,3946,beckham{SPACE},3822,1,0,U,8772,2596
58,2,35,T o r o n t o,toronto{SPACE},2351,b i n o m i a l ,equation{SPACE},6058,1,4292,binomial{SPACE},2878,1,0,U,516,3246
58,2,23,r e m e d y ,remedy{SPACE},1582,c a r c a s s,carcus{SPACE},4825,1,1178,carcass{SPACE},2611,1,0,U,516,3879
58,2,44,i d e a l,ideal{SPACE},1363,C a r r o l l,,0,2,654,carroll{SPACE},1808,1,0,U,3985,2979
58,2,71,m a r r i a g e ,marriage{SPACE},2270,c h a m e l e o n,cameleon{SPACE},5983,1,812,chameleon{SPACE},2887,1,1,U,1032,4807
58,2,21,a d v a n c e d ,advanced{SPACE},2585,C h u r c h i l l,churchhill{SPACE},8088,1,3404,churchill{SPACE},3492,1,1,U,516,2635
58,2,46,f o r e c a s t ,forecast{SPACE},2148,C l e m e n s,clemens{SPACE},3881,1,1358,clemens{SPACE},1725,1,1,U,516,2729
58,2,32,p a r a l l e l ,parallel{SPACE},3556,c o n g r u e n t,,0,2,1149,congruent{SPACE},2259,1,0,R,516,3915
58,2,3,B r o s n a n,{SPACE},46,C o n n e r y,brosnan{SPACE},8331,2,6538,connery{SPACE},3442,0,0,R,9288,5363
58,2,69,p r o t o c o l ,protocal{SPACE},2551,c o v e n a n t ,covenant{SPACE},3995,1,1452,covenant{SPACE},2459,1,1,R,1032,3392
58,2,25,H o m e r,homer{SPACE},1234,D a n t e,dante{SPACE},3724,1,894,dante{SPACE},1289,1,1,R,516,1757
58,2,60,s u r r e n d e r,surrender{SPACE},2279,d e f a u l t,default{SPACE},7669,1,1179,default{SPACE},1700,1,1,R,1032,2288
58,2,63,c o n s u m e,consume{SPACE},1513,d e p l e t e,deplete{SPACE},5081,1,604,deplete{SPACE},2023,1,1,R,1032,1740
58,2,53,s p l i t,split{SPACE},1651,d i v e r g e,branch{SPACE},5688,3,2420,diverge{SPACE},2620,1,0,R,1032,1831
58,2,65,b i z a r r e,bizzare{SPACE},9571,e c c e n t r i c,,0,2,730,ecentric{SPACE},5592,1,0,R,1032,3885
58,2,41,p o s s e s s i o n ,possesion{SPACE},2537,e x o r c i s m ,,0,4,5487,exorcism{SPACE},2615,1,0,R,3096,3222
58,2,75,N e w t o n ,newton{SPACE},1311,F a r a d a y,coulomb{SPACE},6005,1,643,faraday{SPACE},2079,1,0,R,7740,1579
58,2,45,v e g e t a t i o n ,vegetation{SPACE},2705,f o l i a g e,,0,2,1601,foliage{SPACE},2160,1,0,R,516,3181
58,2,52,H e p b u r n,hepburn{SPACE},2130,G a r l a n d,,0,2,1081,garland{SPACE},2423,1,0,R,1032,3755
58,2,43,p u p p y,puppy{SPACE},3550,g o s l i n g,goosling{SPACE},5252,1,10449,gossling{SPACE},1944,1,0,R,3612,3187
58,2,57,J e f f e r s o n,jefferson{SPACE},2010,H a n c o c k,jefferson{SPACE},5843,1,1335,hancock{SPACE},2601,1,0,R,1032,3407
58,2,54,B u d a p e s t ,budapest{SPACE},2597,H e l s i n k i ,stockholm{SPACE},7714,3,2039,helsinki{SPACE},2151,1,0,R,1032,2786
58,2,10,d r e d g e ,dredge{SPACE},2060,h o i s t,raise{SPACE},5202,1,1266,hoist{SPACE},1395,1,0,R,1032,2404
58,2,62,S t a l i n ,stalin{SPACE},1361,H u s s e i n,hussain,6390,2,4185,hussein{SPACE},1848,1,1,R,1032,3621
58,2,28,u n i q u e n e s s ,unquieness{SPACE},5815,i d i o s y n c r a s y ,uniqueness{SPACE},8371,1,2293,idiosyncrasy{SPACE},6955,1,0,R,516,6845
