Subject,Session,Trial,Prime [Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Target[Trial],TargetDefinition.RESP[Trial],TargetDefinition.RT[Trial],TargetQuestion.RESP[Trial],TargetQuestion.RT[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],PrimeFirstResponseAccuracy,TargetFirstResponseAccuracy,PrimeCondition,RTrecognisePrime,RTrecogniseTarget
2,1,73,g e c k o,gecko{SPACE},3143,c h a m e l e o n,iguana{SPACE},5001,1,1144,chamelon{SPACE},4172,1,0,R,2190,1426
2,1,46,T h a t c h e r ,thailand{SPACE},2882,C h u r c h i l l,{SPACE},4732,2,407,churchill{SPACE},3971,0,0,R,2119,4183
2,1,21,S a w y e r ,sawyer{ENTER}{SPACE},3431,C l e m e n s,{SPACE},4894,2,1346,clemens{SPACE},1890,1,0,R,2606,3633
2,1,75,C o n g r e s s ,congress{SPACE},3249,c o n g r u e n t,{SPACE},4845,2,260,congruent{SPACE},1807,1,0,P,2615,1581
2,1,55,C o b a i n ,cobain{SPACE},1860,C o n n e r y,{SPACE},2689,2,755,connery{SPACE},2948,1,0,P,3734,3185
2,1,25,c o n v e n i e n t ,convenient{SPACE},3324,c o v e n a n t ,covenant{SPACE},4118,1,2006,covenant{SPACE},3241,1,1,P,4159,4672
2,1,15,d a w n ,dawn{SPACE},2295,D a n t e,dante{SPACE},5157,1,1041,dante{SPACE},1365,1,1,P,1805,1936
2,1,64,d i f f i c u l t,difficult{SPACE},3022,d e f a u l t,{SPACE},3475,2,665,default{SPACE},2423,1,0,P,3277,4785
2,1,31,d e p t h,depth{SPACE},2185,d e p l e t e,{SPACE},9770,4,4052,deplete{SPACE},2071,1,0,P,2357,2640
2,1,4,d i g e s t ,digest{SPACE},2019,d i v e r g e,distance{SPACE},6634,3,3954,diverge{SPACE},2135,1,0,P,2234,3188
2,1,60,e c s t a t i c ,estatic{SPACE},1632,e c c e n t r i c,{SPACE},3494,4,266,eccentric{SPACE},2679,1,0,P,3845,2905
2,1,63,e x e r c i s e ,exercise{SPACE},2371,e x o r c i s m ,posession{SPACE},7950,3,1545,exorcism{SPACE},3364,1,0,P,1918,2137
2,1,50,F a h r e n h e i t ,farenheight{SPACE},3029,F a r a d a y,{SPACE},4824,2,240,faraday{SPACE},2352,1,0,P,2071,2397
2,1,43,f o l d i n g,folding{SPACE},2464,f o l i a g e,leaves{SPACE},6440,3,1366,foilage{SPACE},2481,1,0,P,2631,2381
2,1,34,g a r n i s h,garnish{SPACE},1547,G a r l a n d,{SPACE},4243,2,479,garland{SPACE},1616,1,0,P,2593,2115
2,1,17,g o b l i n ,goblin{SPACE},3446,g o s l i n g,duckling{SPACE},5643,3,1766,gosling{SPACE},2472,1,0,P,6932,2224
2,1,33,h a n d l e ,handle{SPACE},1854,H a n c o c k,jefferson{SPACE},6458,3,952,hancock{SPACE},3916,1,0,P,1496,1580
2,1,66,h a n d k e r c h i e f ,handerkeif{SPACE},3994,H e l s i n k i ,{SPACE},1500,2,199,helshiki{SPACE},3830,1,0,P,3372,5266
2,1,51,h o l l y,holly{SPACE},1971,h o i s t,hoist{SPACE},4396,1,786,hoist{SPACE},1696,1,1,P,2184,1463
2,1,7,h y m n ,hymn{SPACE},1683,H u s s e i n,{SPACE},4214,2,1395,hussein{SPACE},1984,1,0,P,2426,2697
2,1,32,i d i o t,idiot{SPACE},2323,i d i o s y n c r a s y ,{SPACE},9167,4,335,idiosyncracy{SPACE},4773,1,0,P,1785,5700
2,1,22,i n t e r f e r e,interfere{SPACE},2818,i n t e r j e c t,disrupt{SPACE},8733,2,1085,interject{SPACE},2095,1,0,B,3200,3311
2,1,62,J a c k s o n,jackson{SPACE},2149,J a g g e r ,{SPACE},5064,2,791,jagger{SPACE},1349,1,0,B,1685,1903
2,1,65,l i t i g a t e ,litigate{SPACE},2408,l i b e l,{SPACE},7874,4,366,libel{SPACE},1792,1,0,B,2623,1347
2,1,44,l a c o n i c,laconic{SPACE},2333,l o q u a c i o u s ,talkative{SPACE},5002,3,1130,loquacious{SPACE},2717,1,0,B,3661,3661
2,1,76,M e n d e l ,mendel{SPACE},1635,M a n d e l a,mandella{SPACE},5784,1,829,mandela{SPACE},2550,1,1,B,2685,2453
2,1,38,m i n i m u m,minimum{SPACE},2799,m e a g e r ,{SPACE},6939,2,713,meager{SPACE},1607,1,0,B,4361,2871
2,1,13,M c C a r t n e y,mcartney{SPACE},2427,M e r c u r y,mcartney{SPACE},6900,2,1347,mercury{SPACE},3253,1,0,B,3175,3966
2,1,69,M e l v i l l e ,melville{SPACE},1486,M i l l e r ,{SPACE},3224,2,231,miller{SPACE},1736,1,0,B,4161,3688
2,1,2,m a s h ,mash{SPACE},2550,m i n c e,mince{SPACE},5466,1,5866,mince{SPACE},2347,1,1,B,2687,1809
2,1,40,m o n o g a m y ,monogamy{SPACE},2951,m o n o t o n y ,{SPACE},2510,2,614,monotamy{SPACE},3324,1,0,B,5302,6771
2,1,72,M a d o n n a,madonna{SPACE},2128,M o n r o e ,monroe{SPACE},5811,1,471,monroe{SPACE},2935,1,1,B,1847,2623
2,1,71,N i l e ,nile{SPACE},1439,N a i r o b i,{SPACE},4987,2,172,nairobi{SPACE},2253,1,0,B,1280,1992
2,1,14,n e u t r a l i z e ,neutralize{SPACE},3012,n u l l i f y,{SPACE},4553,2,713,nullify{SPACE},2656,1,0,B,2653,3115
2,1,28,N a z i s,nazis{SPACE},2026,N u r e m b e r g,{SPACE},6385,2,1090,nurenberg{SPACE},3234,1,0,B,2676,4247
2,1,26,o p a q u e ,opaque{SPACE},2475,o b s c u r e,secret{SPACE},7122,1,1097,obscure{SPACE},3122,1,0,B,1376,2217
2,1,9,o m n i s c i e n t ,omniscent{SPACE},3687,o m n i p o t e n t ,{SPACE},6179,2,1227,omnipotent{SPACE},3392,1,0,B,4984,2616
2,1,19,o b v i o u s,obvious{SPACE},2008,o s t e n t a t i o u s ,{SPACE},4768,2,921,ostentacious{SPACE},3346,1,0,B,1923,4180
2,1,10,O s a m a,osama{SPACE},2821,O s w a l d ,{SPACE},3970,2,1030,oswald{SPACE},2386,1,0,B,2969,3133
2,1,3,a n a c o n d a ,anaconda{SPACE},2537,O t t a w a ,quebec{SPACE},5598,2,2875,ottawa{SPACE},2718,1,0,U,1925,3327
2,1,12,a n d r o i d,android{SPACE},1856,p a n a c e a,antidote{SPACE},6524,1,2840,panacea{SPACE},2151,1,0,U,1747,5252
2,1,56,A u s t r a l i a,australia{SPACE},2363,p a r a g o n,{SPACE},8247,2,247,paragon{SPACE},2364,1,0,U,1061,2660
2,1,61,b a n i s t e r ,banister{SPACE},2093,p o l y g a m y ,polygamy{SPACE},6354,1,1139,polygamy{SPACE},2286,1,1,U,3144,2146
2,1,70,b a r t e n d e r,bartender{SPACE},2453,p r e c o c i o u s ,protegue{SPACE},6925,3,1498,precoucious{SPACE},3092,1,0,U,2120,4932
2,1,6,B e c k e t t,beckett{SPACE},2259,p r o p h e c y ,{SPACE},7794,2,1265,prophecy{SPACE},3041,1,0,U,4232,2283
2,1,45,d i f f e r ,differ{SPACE},1930,S e o u l,{SPACE},3766,2,226,seoul{SPACE},4651,1,0,U,3341,3908
2,1,27,e r r a t i c,erratic{SPACE},1630,S h a w ,{SPACE},3059,2,1304,shaw{SPACE},1033,1,0,U,2977,2641
2,1,41,e x i l e,exile{SPACE},1959,S i c i l y ,{SPACE},7120,2,232,sicily{SPACE},1231,1,0,U,1436,2614
2,1,67,F e y n m a n,feynman{SPACE},1984,S k y w a l k e r,{SPACE},3928,2,174,skywalker{SPACE},2142,1,0,U,4162,5708
2,1,23,f o r e s t ,forest{SPACE},3652,s u r r o g a t e,surrogate{SPACE},4802,1,1066,surrogate{SPACE},5524,1,1,U,4699,1768
2,1,18,G a r n e r ,garner{SPACE},2072,T h o r e a u,{SPACE},3630,2,1039,thoreau{SPACE},3456,1,0,U,3471,2898
2,1,49,B o w i e,bowie{SPACE},1359,t i c,tic{SPACE},5037,1,861,tic{SPACE},6195,1,1,U,3629,542
2,1,35,S h a k e s p e a r e,shakesphere{SPACE},5002,t s u n a m i,tsunami{SPACE},5657,1,932,tsunami{SPACE},2126,1,1,U,1842,1878
2,1,59,g r a t e,grate{SPACE},1927,T u r i n g ,{SPACE},2881,2,1356,turing{SPACE},1500,1,0,U,4335,3110
2,1,37,i n v a r i a b l e ,invariable{SPACE},4145,W a t s o n ,watson{SPACE},5534,1,765,watson{SPACE},2512,1,1,U,4214,1364
2,1,29,H o u s t o n,houston{SPACE},3360,W a y n e,{SPACE},6680,4,1464,wayne{SPACE},3110,1,0,U,2363,1558
2,1,16,M a d a g a s c a r ,madagascar{SPACE},3183,Y e l l o w s t o n e,{SPACE},2254,2,910,yellowstone{SPACE},3176,1,0,U,3861,3256
3,1,15,r e s i g n ,resign{SPACE},1754,a b d i c a t e ,denounce{SPACE},9661,2,1147,abdicate{SPACE},2986,1,0,R,2726,5461
3,1,37,n a t i v e ,native{SPACE},2223,a b o r i g i n e,,0,2,980,aborigine{SPACE},7453,1,0,R,3949,6871
3,1,49,r e f u s e ,refuse{SPACE},2090,a b s t a i n,abstain{SPACE},8476,2,1061,abstain{SPACE},2456,1,1,R,6965,4317
3,1,28,c o n d o n e,condone{SPACE},2798,a d v o c a t e ,advocate{SPACE},8524,2,1895,advocate{SPACE},2994,1,1,R,4676,2607
3,1,45,B r o n t e ,bronte{SPACE},1757,A l c o t t ,,0,2,3016,alcott{SPACE},3829,1,0,R,3995,4486
3,1,26,m i s p l a c e ,misplace{SPACE},2930,a n a c h r o n i s m,arti,8835,3,2920,{SPACE},4405,1,0,R,3232,9288
3,1,69,p u z z l e ,puzzle{SPACE},2341,a n a g r a m,{SPACE},9506,2,1048,anagram{SPACE},2442,1,0,R,2195,4734
3,1,19,H i m a l a y a s,himalayas{SPACE},5043,A n d e s,andes{SPACE},6403,2,1671,andes{SPACE},1611,1,1,R,4148,1386
3,1,71,C i n d e r e l l a ,cinderella{SPACE},2798,A u r o r a ,auro,9545,1,3517,aurora{SPACE},2875,1,0,R,2616,3926
3,1,30,V i e t n a m,vietnam{SPACE},2755,B a n g k o k,bancock,7574,2,1761,bangkok{SPACE},2732,1,1,R,4350,5977
3,1,9,t a r i f f ,tariff{SPACE},2121,b a r t e r ,tariff{SPACE},4523,1,1058,barter{SPACE},1825,1,0,R,3906,4663
3,1,43,M e s s i,{SPACE},1737,B e c k h a m,ren,9594,2,1281,beckham{SPACE},3206,0,0,R,516,3292
3,1,27,e q u a t i o n ,equation{SPACE},3801,b i n o m i a l ,formula{SPACE},8260,2,1249,binominal{SPACE},4271,1,0,R,3139,6272
3,1,33,s k e l e t o n ,skeleton{SPACE},3445,c a r c a s s,car,9345,2,1385,carcass{SPACE},2649,1,0,R,2737,5846
3,1,66,R o w l i n g,rowling{SPACE},3541,C a r r o l l,{SPACE},6396,2,1136,carroll{SPACE},2407,1,0,R,3104,4172
3,1,24,g e c k o,gecko{SPACE},2175,c h a m e l e o n,camea,9876,1,2104,chamelon{SPACE},5375,1,0,R,3420,6286
3,1,21,T h a t c h e r ,thatcher{SPACE},4932,C h u r c h i l l,{SPACE},5148,2,1122,churchill{SPACE},4725,1,0,R,3619,3197
3,1,23,S a w y e r ,sawyer{SPACE},2320,C l e m e n s,{SPACE},4523,2,2850,clemens{SPACE},3624,1,0,R,3903,4667
